,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
12491,NONE,oh1anyegIC24O6wtOsnkbJd9JaPrSkYQUmqFPhSws8gAow,12,1,4,2,0,1,2986,255,0,7399,3719,9,3,18,13,2055,1028,2010,3097,0,3117,3340,Alistar
12515,NONE,CEdShbeiYDxUzbzUGvhMizvxgTdUZ0sZcKMcrbkV9ZQ,43,1,6,1,0,1,6286,1948,1948,7712,5037,9,4,29,16,3098,2003,2055,3174,3047,0,3364,Karma
12522,NONE,0bY33hcADkRUJTCMZbv9TZ7klxLmvkrQdQH7OPXSoRh6Nw,40,0,3,11,0,0,3341,2009,1909,6146,5254,9,3,18,15,1052,2031,3098,3504,3117,2055,3364,Janna
12641,NONE,nPQ2NQGBNRouDbpZxw_OLs2zA6BsFnlZf_8koO5KUGF8Hg,43,0,2,2,0,0,6239,808,808,8878,6554,11,2,7,19,1056,3108,3191,3025,3047,0,3363,Karma
12703,NONE,m60_Ss2iD-mDOuvzAue_9lCDIpjcJS8QCqyEeIHMlw66JsU,350,0,0,0,0,0,488,0,0,220,759,2,0,1,0,3303,2003,0,0,0,0,3340,Yuumi
12867,NONE,EUVZ4pHp1pyz0iQ_LsJhc0c3TM_S3kD_QZJfJf3UJSWSdiY,350,1,4,5,0,1,4463,571,427,4162,3966,8,4,10,4,3174,3098,2055,1082,1004,0,3364,Yuumi
12956,NONE,T9sT06dI-CI4OucQwL6B_u4KwL0RESbuLsy1rWQTXVZ2e-Q,432,0,0,9,0,0,6343,3439,1247,7254,5185,10,4,42,19,3801,2031,3117,3092,0,0,3364,Bard
12983,NONE,Ffxzwc-QrZb4RuYJPd22JeIV3dzFSg2sIUaCzWiEbIejLA,37,2,4,8,2,1,3684,4593,1538,4614,5731,9,2,23,1,2010,3003,3098,2031,0,3047,3364,Sona
12998,NONE,DpXlmnaTklKcUB8e7wd82JeL0UJE2iqItKzukAZhtaNdb4E,111,3,2,2,2,1,4849,777,777,6193,4464,7,0,6,28,3097,3117,3050,2031,0,0,3364,Nautilus
13018,NONE,kOeTxzNXrQQsB6pP9HC-H1uXYlNXWJNq_iwngjU7iAT2LFJA_IrXdZSm,16,1,7,5,0,1,2591,300,300,8669,5541,9,3,21,16,3107,3117,3092,0,2055,0,3364,Soraka
13166,NONE,oh1anyegIC24O6wtOsnkbJd9JaPrSkYQUmqFPhSws8gAow,53,4,1,10,2,1,5944,6823,3438,8664,7044,10,4,29,18,2055,0,3050,3401,3067,3117,3364,Blitzcrank
13187,NONE,jHoSbHo63p9x7-dFhTZyuNRWHEylRoGIMiydQ_u_9LFR7mI,40,1,4,1,0,1,2900,0,0,6695,3460,7,6,15,11,3098,3158,2031,2055,1004,1004,3364,Janna
13302,NONE,Ogg16i9MTigZbfkSeo-vbF468iLM1tK95kvLPKowiyVKXik,555,1,4,1,0,1,2917,197,197,6482,3437,8,0,5,14,3134,2031,0,0,3117,3097,3340,Pyke
13370,NONE,D-te1_VYtpZxuN5G4cVDVZTiFDfWADpX2ntT80u1MzTIqQ,53,0,1,10,0,0,3674,1060,1060,8767,4535,9,3,24,14,3024,2010,3401,0,3117,0,3364,Blitzcrank
13518,NONE,02Bkk4s3fdUb3oIKuZr1RBSOyKrMG5KtXb_y47-79Mw,497,1,3,4,0,1,4101,1327,1257,6896,4181,8,6,27,11,1004,1004,3098,2055,3113,3117,3364,Rakan
13542,NONE,G4wrN1LbJpPsXoWHJaos3ArBvnTdYgvr80PAJJhEX88QLvA,412,1,1,9,0,1,3354,3340,3340,3723,5384,8,3,15,14,3096,0,3105,1028,3117,0,3364,Thresh
13605,NONE,9p4fTydASoQ-2wYkmotfEooWQbcSSUhv1jKdQ-dvAGhhqSU,555,6,0,6,6,2,5147,4656,2588,5713,6591,10,2,19,10,0,2003,3117,3134,1036,3401,3364,Pyke
13655,NONE,xtrxVfo_Mq75EhQCEsYWRJTK_WOQOUvecIqFqTADuLFWww,117,1,4,3,0,1,3500,1004,1004,6914,4539,9,5,15,13,2055,2031,3098,3113,3114,3117,3364,Lulu
13659,NONE,Ns_lkzYxTbVxOLgdH4g7EW11ANZglsXURKWMDrzQKKzJCVE,43,0,0,0,0,0,0,189,189,0,725,2,0,1,0,3303,2003,0,0,0,0,3340,Karma
13778,NONE,I16qxE6Kyu1a0nEqB1Dexo70SmS6_gYbX1El13Wg6Sc7-SA,497,2,0,6,2,1,4011,2459,989,6170,4863,8,5,24,6,3092,3117,2055,1052,3028,0,3364,Rakan
13845,NONE,x7ETwZwl-uia95DiTwYY4yS2OyDe4XR2Qw7ZC0dqk4MKXQ,111,2,2,8,2,1,4857,1076,1076,5424,5944,10,3,14,20,2033,3152,1082,3020,3108,0,3340,Nautilus
14270,NONE,1hz6KMES5DSN6UAgIlLoQWgJ0xQx9N0y-0sZIorHQhMo_aE,99,1,6,2,0,1,5071,174,174,6490,3913,8,1,10,29,3117,3098,3108,1033,0,0,3364,Lux
14341,NONE,WecUlumGqqdQYnqEWIR-DiR1UlbgT0NXNH6VoBBwodlD2_Q,40,0,4,0,0,0,1922,165,165,6340,2958,7,2,12,8,1082,0,3098,3117,0,0,3340,Janna
14489,NONE,HJfAQt6eNgy6E_HcHXglb3vrRqhUboCowBM9cpoOBMeU0A,350,4,3,4,2,1,6928,1156,836,6258,6045,9,2,18,8,1082,3092,3158,3174,0,2055,3364,Yuumi
