,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
3351,JUNGLE,YD59BDoeCTroaM_CzkvsiNSLDOecYsHVfofm-LA0cmtJk-V2TjV7Q8Go,20,8,5,5,3,2,13499,3994,0,42852,11501,15,1,5,32,1413,3742,1028,3065,3111,3067,3340,Nunu
3356,JUNGLE,SNS6ooygfjxBvdkX-2368tSKeM-DvhHjftJndV2b-jDnnmQ,19,12,14,10,3,2,22310,17706,750,59213,13944,14,2,25,42,3742,3047,3065,1028,1401,3748,3364,Warwick
3359,JUNGLE,6zCBPg5nfz8_uPLnxcZ2CD24-5Hm4f0pBcbAEFTYZgMU5qI,64,5,7,10,3,2,12085,10324,1633,34596,14104,17,1,23,21,1400,3077,3053,3071,3047,3026,3340,LeeSin
3360,JUNGLE,nwu4iWCqhbfrL2ff42jiNjaKl6wMvnqMi0iXaMzr7jd_fOo,203,1,8,2,0,1,2824,8169,0,22977,6310,11,0,15,2,1400,2010,1051,3006,3086,1042,3340,Kindred
3378,JUNGLE,Du-_5GykWN78oKqCHXJIjUvtJauAbCpNvhLguabwXkhYk_M,59,4,9,10,2,1,8916,1871,0,28684,9078,13,3,17,16,1413,1031,3109,1011,1036,3111,3364,JarvanIV
3382,JUNGLE,qVBXNthDzINgwterbm4ta98EWldord3gVaB0PH3yHiJwsEw,113,4,4,17,2,1,13648,18718,1259,35272,11380,15,5,29,30,1401,3193,3083,3111,3105,0,3340,Sejuani
3384,JUNGLE,44FlXS_Kd3CNlyaBPomDzEC1FKGQlLpK-lno1k0JIcISn-mDclmf-1pk,102,9,2,7,4,1,23742,47364,6945,32497,14574,17,1,35,3,1402,3165,3115,3089,3020,0,3364,Shyvana
3389,JUNGLE,qF6E4Gd1DPRBAKnuLJXIR2r8HDYVHUsUoVR4xg9kG82GCXM,163,4,1,3,2,1,4551,18549,1841,11871,7016,11,1,21,6,3020,2031,3165,1402,0,0,3340,Taliyah
3392,JUNGLE,95PlRQ5QmSh_WfEW-_mGr1hXV9B5v6mokFM23brbhAXf5mY,32,5,6,5,5,2,13882,4883,918,34123,10942,14,2,26,26,1401,3010,3151,3047,1057,3076,3364,Amumu
3393,JUNGLE,TVQGKjTbPw31tTeeCuI9X-jtyRBy48LjJ-RjuCl-NF1VLw,72,7,13,15,3,3,14053,12433,1925,35854,13322,17,0,15,60,3078,1400,3047,3742,3082,1011,3340,Skarner
3399,JUNGLE,-xBSeN-Vbp3x13FNYW81I81cdZlkrHS8JIXqfy6Fs7gUybM,120,4,5,5,2,2,12946,8541,1222,35577,10847,15,7,37,20,3715,3742,3047,3078,3052,0,3364,Hecarim
3426,JUNGLE,rskcsOplermKKKYph_S6vSv7bcA2cHg2teREfvnTionBJQ,76,10,6,12,7,2,20464,29771,1862,33209,13554,15,6,76,5,1414,3057,3157,3047,3027,3174,3364,Nidalee
3435,JUNGLE,rskcsOplermKKKYph_S6vSv7bcA2cHg2teREfvnTionBJQ,421,6,6,7,2,1,15694,13108,1227,29023,10866,13,7,41,29,3026,0,2420,3111,3071,1400,3364,RekSai
3459,JUNGLE,bGBzC4ve9KFKulACYWph0YYwho8QeXtTepfNMW91URDdKqQ,64,2,2,12,2,1,8295,11383,544,21168,8839,14,7,36,21,2421,2031,0,3071,1400,3111,3340,LeeSin
3463,JUNGLE,RzNVJcjQuSlHzoeSbLU9bSSu1P0PIou-yFJdA289y-mg5f2lY5a6eOou,79,7,1,9,4,2,12334,20267,985,18719,10038,14,3,34,16,3157,2031,1402,3020,0,3916,3364,Gragas
3489,JUNGLE,U5UFswUgyo4E5JGun6gM7gq5UZ85OHA0acIE6YxnOWxXgLk,121,11,8,8,3,2,22534,14032,655,33072,13891,15,3,50,16,3026,3142,3147,3117,3123,1400,3364,Khazix
