,Lane,Summoner,Champion,Kills,Deaths,Assists,Killing_Spree,Multikills,Total_Damage,Damage_To_Objectives,Damage_To_Turrets,Damage_Taken,Gold_Earned,Champ_Level,Wards_Bought,Vision_Score,Crowd_Controls,Item_0,Item_1,Item_2,Item_3,Item_4,Item_5,Item_6,champion_name
4793,MIDDLE,x7ETwZwl-uia95DiTwYY4yS2OyDe4XR2Qw7ZC0dqk4MKXQ,105,7,7,3,3,1,13436,499,0,21428,9008,12,5,23,15,3157,3152,1082,3020,3113,0,3340,Fizz
4806,MIDDLE,mfxe_2MomcX5JbucpJnxLNKSO0TlQdUudTnAMN2jhTJ2KRs3iVY2xPN2,238,2,5,4,0,1,6330,199,0,12196,7066,12,3,21,3,3142,2031,2055,1001,3044,1028,3340,Zed
4824,MIDDLE,KwLCjvoD59znDFJ-0ICEH1dfuXhLPSv19eSmEP7ML2v6Cc0,268,6,5,5,3,1,15158,272,119,13440,10784,14,3,21,12,3165,3020,3191,1056,3115,3108,3340,Azir
4848,MIDDLE,dBRVgXQf7y-HECfH7u5uhFgocl8ELZvnFa6JuMhoTgngAA,518,11,6,18,8,3,45756,1835,1835,23987,17322,17,1,39,92,3089,3905,3285,3157,3020,3135,3340,Neeko
4873,MIDDLE,PbiUGlCO65pni-WjuzjjuU7YQ-WU5z77jhaKircOrOWv35Y,4,3,8,10,0,1,13334,1526,1297,26380,9356,14,3,19,28,2033,2424,3027,3111,3100,3191,3340,TwistedFate
4877,MIDDLE,umkk3qMIgwu31xkmiVizS6chsu_MixeJb32B--lQGjl8fg,91,3,6,2,2,1,8376,10993,6890,14572,8676,13,3,12,1,3142,3077,3147,3117,0,0,3340,Talon
5001,MIDDLE,62Uv23klhUU1umWYXVBfdNaIOwkSBcqdoqYW6KowUKKb9pY,157,9,3,7,4,2,11813,15925,3002,13550,11588,14,1,11,16,3087,3052,3031,1055,3006,1037,3363,Yasuo
5008,MIDDLE,HfrPWZAMyUlPUy0b5ad-wSWuU3glEk2T_ER0Z2Fw_8Fjfw,91,7,13,9,2,2,20828,2951,585,31788,12841,16,7,46,2,3077,3142,3814,1036,3036,3047,3363,Talon
5037,MIDDLE,oFKzkm0qUGh_GzKiUKAId-ZvtEGW21iS6NYCwHAtLTY7F8_7tWczolcO,55,8,4,1,5,2,16448,0,0,22127,9678,13,4,25,4,0,2031,3146,3020,3165,3191,3340,Katarina
5046,MIDDLE,DYW6XWP6IDd_l2PMF4Q82Vw88IzkMdHFRUUQdzBFKiDCnyTLVL1JamZk,42,8,3,12,5,2,20016,15046,5746,16302,13504,15,2,22,2,3026,3094,2033,3078,1037,3020,3340,Corki
5048,MIDDLE,XfSaheqFbP_i1-kpfAsgZDEzLpX_htSMVzsKzOlX1dBhxpg,105,4,6,6,2,1,14937,2142,2142,14387,9399,13,3,47,7,3157,1058,0,3100,3020,1082,3340,Fizz
5071,MIDDLE,XHgC094D1aGL9loH5RI3YllQh08i_HVgqeXGMW1moIYzCuQ,7,0,3,3,0,0,7478,129,129,11904,6043,11,3,16,13,3285,1052,2055,3020,0,1082,3364,Leblanc
5072,MIDDLE,wPc_IK2_BhxB05X6e5Wp6oONNOlHaJ-ViG4HCdaxrl-JNQ,127,1,4,11,0,1,18642,6599,2506,24140,10827,15,7,24,42,1058,3067,3157,2055,3158,3285,3364,Lissandra
5108,MIDDLE,GYqCMna7JP05pRcRnu8UqjcTm5qxg-qu7GuT0onKR_OoWng,246,10,5,14,4,1,29722,7837,3004,31332,17600,18,3,55,34,3142,3814,3111,3156,3147,3134,3340,Qiyana
5110,MIDDLE,VhGCgKUK1R_3z8VkodbQeYc9K4Ro0iEGEITuPB-Upc0,42,9,2,9,7,1,26776,9325,4529,17247,14046,16,4,27,2,3020,3155,3031,2033,3078,3094,3364,Corki
5117,MIDDLE,DYW6XWP6IDd_l2PMF4Q82Vw88IzkMdHFRUUQdzBFKiDCnyTLVL1JamZk,84,0,6,5,0,0,7191,0,0,15573,6286,12,2,20,2,1052,2031,3146,3047,1054,0,3340,Akali
5158,MIDDLE,9-vVbG0xolMTujxOT3I8Rr_fMrYQ5maYvyznKiua1FvMxvo,7,8,9,12,4,4,20394,5413,3410,28749,12298,15,3,29,13,1056,3165,3285,1056,1058,3020,3364,Leblanc
5163,MIDDLE,G1cyrzM1z1PtCw3TlWyzM76__SMCd8WniGz8wCZwi4S5Bw4,90,3,7,4,0,1,13642,4834,2804,16072,10640,15,5,41,48,2033,2421,3285,3151,3108,3158,3363,Malzahar
5177,MIDDLE,CqeNlypnEasVDof5KcMp0aviLKFx0hCwLcbMp3HfR7JBr78,4,1,8,3,0,1,9785,3027,608,19539,7779,12,1,15,23,3111,0,3157,3027,1056,0,3364,TwistedFate
5193,MIDDLE,D3sIs4WQxwzrpFeWkVi9X93pBS_95nXHcpoz4zMWooXYgg,245,5,2,4,5,2,10706,1971,1971,12993,9719,14,4,24,6,1082,2033,3020,3115,3100,0,3364,Ekko
5209,MIDDLE,bs-pcykbEZoiacMgZK5wPD_yez_udPJl8hMmfKKxhIhejw,55,9,7,12,5,2,32733,7960,2567,23862,12070,15,0,14,3,3020,3146,3157,3916,1058,1058,3340,Katarina
5210,MIDDLE,kdxLE98NVjB-r5p-A3wr30j1JnE4ziE50aiAtNDoj_IOXGs,55,12,4,1,5,3,16421,7460,3738,17671,11906,14,0,11,1,3146,3812,3020,3108,0,0,3340,Katarina
5232,MIDDLE,QGgSp8EjO6DUxyAwsFCpfALRP6e2nT3rxGBKfxVFNCDHRQ,55,4,10,4,0,1,11999,261,261,18832,8381,13,2,15,2,3146,3111,3147,0,2055,0,3340,Katarina
5233,MIDDLE,SXh3haTJQA3ZEd8LeUOdW591rn5juDnnK93Ra-7z3_LhvqFkdBw7omHi,131,4,6,7,0,1,11298,4391,2555,15749,9347,15,0,10,6,1056,2031,3115,3020,3089,0,3340,Diana
5244,MIDDLE,G4fmnU7si53i8ZfqIbZvpxsEb1Md5dpmsN3fadbgwB2EVlY_O_XuZwZG,91,13,5,2,7,2,23698,14116,6902,24991,15970,17,4,27,3,3077,3142,3026,3147,3071,3117,3340,Talon
5258,MIDDLE,yGKnKUQKiGHL3Z0XAZfMU3wgoQHEvqFkSGYb0yViMcH1vg,34,7,2,0,5,2,17381,1971,282,12647,9197,13,1,13,40,1052,2424,3040,2053,3027,3020,3363,Anivia
5274,MIDDLE,n3P1KIthdsqBr_HQZNQi7sLuwmKmpjvmnBdKY9lrxkTZIzk,518,1,8,3,0,1,9375,954,187,12938,5029,11,0,8,35,1056,3285,0,2422,0,0,3340,Neeko
5282,MIDDLE,bs-pcykbEZoiacMgZK5wPD_yez_udPJl8hMmfKKxhIhejw,55,14,10,10,3,3,34429,707,707,34356,13853,15,2,21,5,3020,3146,3157,3916,3116,1082,3340,Katarina
5286,MIDDLE,GpQAg0kmaDKtCFg5lZwFhwZ3cr5OcAuAohENbC9SMcwiZebBGMbm9Awl,34,0,5,1,0,0,2402,311,311,9526,5631,8,0,6,6,2003,1056,3802,3070,2422,0,3340,Anivia
5290,MIDDLE,srZRLd7-_8kXDH_x0ANxuuQ4uZweFcMyam5iV2lApS4s90k,103,3,3,9,0,1,19835,1704,558,19391,11508,16,6,34,45,3030,3905,3165,3020,1026,0,3364,Ahri
5326,MIDDLE,NPSBiM66QZlfpSbjh1P-h6LiMI6hALoaiawz1WSRya_mCuI,268,6,1,6,4,2,19394,14135,7796,15521,12737,16,6,30,9,3020,3285,1082,1056,3157,3135,3363,Azir
5330,MIDDLE,DDifpSQIPXsn1LTKdzgKTI8grhFYeZFyP7w82N4KkBiCzg,4,3,3,3,0,1,2863,7714,5152,7165,9600,13,0,10,11,3094,2033,3078,3111,1057,1043,3340,TwistedFate
5341,MIDDLE,XST3-wK34HF9TK-6BduhDXdItb06WBiayxnwMYbeVwCDLA,134,7,3,9,4,1,18177,7131,5078,8745,12938,15,3,19,29,2055,3157,3020,3165,3285,0,3364,Syndra
5344,MIDDLE,z4qpVk6lGXk6NXiy-iePmb50G5fV4AQkdayYtonwJQ,45,8,2,11,8,1,30270,5393,188,20301,16431,18,2,23,23,3152,3100,3089,3020,3041,3102,3340,Veigar
5348,MIDDLE,27t5KxsERhNRPBIMQebXUlpwqkiLsdAl9riOulxrzNAjzA,134,4,2,2,3,1,7294,1044,242,8659,8928,13,5,20,15,3285,3165,1052,1056,0,3020,3340,Syndra
5350,MIDDLE,UylE_K0JtglGU75sA3N6sSZC7XfOriQvdhOJr753buT7THQ,7,9,6,4,4,2,20198,3480,1212,19347,10554,14,2,21,20,2033,1058,1082,3020,3285,3165,3340,Leblanc
5378,MIDDLE,dBRVgXQf7y-HECfH7u5uhFgocl8ELZvnFa6JuMhoTgngAA,142,9,2,9,5,2,25582,2071,2071,12392,11496,15,3,16,24,2033,1082,3285,3020,3165,1052,3340,Zoe
